RA,Dec,Magnitude,Bayer,Full Bayer,English Name,Flamsteed
19.054166666666664,87.14527777777778,6.25,-,-,-,-
16.21666666666667,5.656388888888889,6.0,-,-,-,73-Psc
16.270833333333332,14.946111111111112,5.68,-,-,-,72-Psc
16.59166666666667,62.76166666666666,6.54,-,-,-,-
16.416666666666664,21.473333333333333,5.34,ψ¹,ψ¹-Psc,-,74-Psc
16.420833333333334,21.46527777777778,5.56,ψ¹,ψ¹-Psc,-,74-Psc
17.3,80.01166666666667,6.29,-,-,-,-
16.454166666666666,4.908333333333334,6.35,-,-,-,77-Psc
16.4625,4.9094444444444445,7.25,-,-,-,77-Psc
16.4,-9.979166666666666,6.12,-,-,-,27-Cet
16.75,56.934999999999995,6.43,-,-,-,-
16.520833333333332,-9.839444444444444,5.58,-,-,-,28-Cet
16.787499999999998,53.498333333333335,6.38,-,-,-,-
16.637500000000003,12.95611111111111,6.12,-,-,-,75-Psc
16.52916666666667,-23.9925,6.14,-,-,-,-
17.066666666666666,54.92027777777778,5.17,μ,μ-Cas,-,30-Cas
16.520833333333332,-46.718611111111116,3.31,β,β-Phe,-,-
16.608333333333334,-35.66083333333333,6.61,-,-,-,-
17.0,43.94194444444444,5.03,-,-,-,41-And
16.804166666666664,-23.99638888888889,6.37,-,-,-,-
17.137500000000003,58.26361111111111,5.79,-,-,-,-
17.004166666666666,32.01222222222222,6.25,-,-,-,78-Psc
16.9875,20.739166666666666,5.55,ψ²,ψ²-Psc,-,79-Psc
16.941666666666666,-9.785555555555556,5.82,-,-,-,30-Cet
17.09166666666667,5.649722222222222,5.52,-,-,-,80-Psc
16.945833333333336,-41.48694444444445,5.21,υ,υ-Phe,-,-
16.825,-61.775277777777774,5.37,ι,ι-Tuc,-,-
18.066666666666666,79.6738888888889,5.64,-,-,-,-
17.145833333333332,-10.182222222222222,3.45,η,η-Cet,-,31-Cet
17.375,47.24194444444444,4.25,φ,φ-And,-,42-And
17.6625,68.7786111111111,5.29,-,-,-,31-Cas
17.429166666666667,35.620555555555555,2.06,β,β-And,Mirach,43-And
17.095833333333335,-55.24583333333334,3.92,ζ,ζ-Phe,-,-
17.454166666666666,19.65861111111111,5.55,ψ³,ψ³-Psc,-,81-Psc
17.575,42.081388888888895,5.65,-,-,-,44-And
17.579166666666666,25.45777777777778,5.8,-,-,-,-
17.854166666666668,64.20277777777778,5.55,-,-,-,-
17.775000000000002,55.14972222222222,4.33,θ,θ-Cas,-,33-Cas
17.545833333333334,15.674166666666666,6.06,-,-,-,-
17.920833333333334,65.01888888888888,5.57,-,-,-,32-Cas
17.550000000000004,-8.90611111111111,6.4,-,-,-,32-Cet
17.637500000000003,2.445555555555556,5.95,-,-,-,33-Cet
17.791666666666668,37.72416666666667,5.81,-,-,-,45-And
17.775000000000002,31.424722222222222,5.16,-,-,-,82-Psc
17.52916666666667,-57.69444444444444,6.41,-,-,-,-
17.8625,21.034722222222225,4.66,χ,χ-Psc,-,84-Psc
17.9125,30.08972222222222,4.51,τ,τ-Psc,-,83-Psc
17.929166666666667,-2.2511111111111113,5.94,-,-,-,34-Cet
18.2875,61.70583333333334,6.41,-,-,-,-
18.141666666666666,45.33777777777778,6.11,-,-,-,-
18.24583333333333,30.06416666666667,6.19,-,-,-,-
19.125,79.91000000000001,6.26,-,-,-,-
18.095833333333335,-30.802222222222223,6.52,-,-,-,-
18.187499999999996,-37.85638888888889,5.92,-,-,-,-
18.433333333333334,24.58361111111111,4.65,φ,φ-Psc,-,85-Psc
18.42916666666667,7.575277777777777,5.24,ζ,ζ-Psc,-,86-Psc
18.437500000000004,7.578333333333333,6.3,ζ,ζ-Psc,-,86-Psc
18.520833333333336,28.529722222222222,6.43,-,-,-,-
18.52916666666667,16.13361111111111,5.98,-,-,-,87-Psc
19.05,71.74388888888889,7.83,-,-,-,-
18.6,-7.923055555555556,5.13,-,-,-,37-Cet
18.675,6.995277777777778,6.03,-,-,-,88-Psc
18.704166666666666,-0.9738888888888889,5.7,-,-,-,38-Cet
19.099999999999998,48.08222222222223,6.61,-,-,-,-
18.795833333333334,-45.53138888888889,4.96,ν,ν-Phe,-,-
19.074999999999996,33.11472222222223,6.02,-,-,-,-
19.270833333333332,44.901944444444446,6.34,-,-,-,-
19.15,-2.500277777777778,5.41,-,-,-,39-Cet
19.349999999999998,31.744722222222222,6.73,-,-,-,-
20.079166666666666,77.57055555555556,6.31,-,-,-,-
19.541666666666668,47.41972222222222,6.25,-,-,-,-
18.941666666666666,-68.8761111111111,4.86,κ,κ-Tuc,-,-
19.45,3.6144444444444446,5.16,-,-,-,89-Psc
19.695833333333336,37.38611111111111,6.46,-,-,-,-
19.262499999999996,-66.39805555555556,6.24,-,-,-,-
20.495833333333334,76.2388888888889,6.38,-,-,-,-
20.016666666666666,58.23166666666667,4.98,φ,φ-Cas,-,34-Cas
19.866666666666667,27.264166666666668,4.76,υ,υ-Psc,-,90-Psc
20.270833333333336,64.65833333333335,6.34,-,-,-,35-Cas
19.950000000000003,-0.5088888888888888,5.87,-,-,-,42-Cet
20.941666666666666,78.72583333333334,6.07,-,-,-,-
20.141666666666666,-3.2469444444444444,6.23,-,-,-,-
20.1125,-11.238888888888889,6.15,-,-,-,-
20.27916666666667,28.738055555555558,5.23,-,-,-,91-Psc
20.583333333333336,45.528888888888886,4.88,ξ,ξ-And,-,46-And
20.8375,58.143055555555556,6.45,-,-,-,-
20.65416666666667,1.726388888888889,6.2,-,-,-,-
20.641666666666666,-0.44972222222222225,6.49,-,-,-,43-Cet
20.625,-19.08138888888889,6.35,-,-,-,-
20.916666666666664,37.715,5.58,-,-,-,47-And
20.904166666666665,34.24583333333334,6.29,-,-,-,-
20.849999999999998,20.468888888888888,5.97,-,-,-,-
21.441666666666666,70.98,6.49,-,-,-,-
21.483333333333334,68.13,4.74,ψ,ψ-Cas,-,36-Cas
20.879166666666666,-30.945555555555554,5.84,-,-,-,-
21.008333333333333,-8.0075,6.21,-,-,-,44-Cet
21.004166666666666,-8.183333333333334,3.6,θ,θ-Cet,-,45-Cet
21.454166666666666,60.23527777777778,2.68,δ,δ-Cas,-,37-Cas
21.083333333333332,-6.914722222222222,5.91,-,-,-,-
21.162499999999998,-15.660277777777779,6.14,-,-,-,-
21.2,-2.8486111111111114,6.15,-,-,-,-
21.395833333333336,23.511666666666667,6.18,-,-,-,-
21.166666666666664,-41.4925,5.42,-,-,-,-
21.575,43.45777777777778,5.96,-,-,-,-
21.53333333333333,34.57972222222222,6.31,-,-,-,-
21.17083333333333,-44.52833333333333,6.26,-,-,-,-
21.40416666666667,-14.59888888888889,4.9,-,-,-,46-Cet
21.5625,19.172222222222224,5.38,ρ,ρ-Psc,-,93-Psc
21.670833333333334,19.240277777777777,5.5,-,-,-,94-Psc
21.775,34.3775,6.27,-,-,-,-
21.6125,-0.39861111111111114,6.41,-,-,-,-
21.912499999999998,45.406666666666666,4.83,ω,ω-And,-,48-And
21.858333333333334,41.10055555555556,6.46,-,-,-,-
21.720833333333335,3.5352777777777775,6.58,-,-,-,-
21.270833333333336,-64.36944444444444,5.93,-,-,-,-
21.7125,-13.056666666666667,5.66,-,-,-,47-Cet
21.945833333333333,40.33555555555556,6.6,-,-,-,-
21.741666666666667,-32.543055555555554,5.79,-,-,-,-
37.949999999999996,89.26416666666667,2.02,α,α-UMi,Polaris,1-UMi
21.941666666666666,-10.901666666666667,6.13,-,-,-,-
22.09166666666667,7.961388888888889,6.2,-,-,-,-
22.804166666666667,70.26472222222222,5.81,-,-,-,38-Cas
22.71666666666667,66.09805555555555,6.14,-,-,-,-
22.087500000000002,-43.318333333333335,3.41,γ,γ-Phe,-,-
22.525,47.007222222222225,5.27,-,-,-,49-And
22.17916666666667,-33.76361111111111,6.58,-,-,-,-
22.46666666666667,18.355555555555558,6.02,-,-,-,97-Psc
22.400000000000002,-21.629444444444445,5.12,-,-,-,48-Cet
22.545833333333334,6.143888888888889,4.84,μ,μ-Psc,-,98-Psc
22.375,-46.756388888888885,6.31,-,-,-,-
22.59166666666667,-26.20777777777778,5.93,-,-,-,-
22.87083333333333,15.345833333333333,3.62,η,η-Psc,-,99-Psc
23.029166666666665,34.8,6.39,-,-,-,-
23.354166666666668,58.3275,5.7,-,-,-,-
22.8125,-49.07277777777778,3.95,δ,δ-Phe,-,-
22.929166666666667,-30.283333333333335,5.82,-,-,-,-
23.479166666666668,59.231944444444444,4.71,χ,χ-Cas,-,39-Cas
22.912499999999998,-45.57555555555556,6.17,-,-,-,-
23.2625,-9.014722222222222,6.59,-,-,-,-
23.23333333333333,-36.86527777777778,5.51,-,-,-,-
23.566666666666666,37.23722222222222,5.88,-,-,-,-
23.149999999999995,-49.72777777777778,6.28,-,-,-,-
23.425,-7.025277777777777,5.76,-,-,-,-
24.341666666666665,74.30083333333333,6.58,-,-,-,-
23.704166666666666,18.460555555555555,5.89,-,-,-,-
23.65416666666667,-15.67611111111111,5.63,-,-,-,49-Cet
23.96666666666667,41.07638888888889,6.38,-,-,-,-
23.708333333333332,-31.892222222222223,6.12,-,-,-,-
24.1125,48.72277777777778,5.92,-,-,-,-
23.94166666666667,14.661388888888888,6.22,-,-,-,101-Psc
24.624999999999996,73.03999999999999,5.28,-,-,-,40-Cas
23.975,17.433611111111112,5.8,-,-,-,-
24.195833333333336,41.40555555555555,4.09,υ,υ-And,-,50-And
23.995833333333337,-15.400277777777777,5.42,-,-,-,50-Cet
23.8125,-58.13944444444444,6.01,-,-,-,-
24.529166666666665,57.9775,5.56,-,-,-,-
